ID,ISBN,judul,kategori,jumlah
881,9786028320887,Pekerjaan Sosial Jilid 1,Kelas 10,0
882,9786028320924,Pengawasan Mutu Bahan Produk Pangan Jilid 1,Kelas 10,0
883,9786028320955,Penjualan Jilid 1,Kelas 10,0
884,9789790600072,Rekayasa Perangkat Lunak Jilid 1,Kelas 10,0
885,9789790600218,Seni Rupa Jilid 1,Kelas 10,0
886,9789790600324,Sistem Refrigasi dan Tata Udara Jilid 1,Kelas 10,0
887,9789790600355,Tata Busana Jilid 1,Kelas 10,0
888,9789790600478,Teknik Alat Berat Jilid 1,Kelas 10,0
889,9789790600591,Teknik Distribusi Tenaga Listrik Jilid 1,Kelas 10,0
890,9789790600676,Teknik Grafika dan Industri Grafika Jilid 1,Kelas 10,0
891,9789790601321,Teknik Perencanaan Gizi Makanan Jilid 1,Kelas 10,0
892,9789790601437,Teknik Sepeda Motor Jilid 1,Kelas 10,0
893,9789790601635,Teknologi Pangan Jilid 1,Kelas 10,0
894,9789790601666,Usaha Jasa Pariwisata Jilid 1,Kelas 10,0
897,9786028320238,Fisika SMK Non Teknologi Jilid 2,Kelas 10,0
898,9786028320269,Fisika SMK  Teknologi Jilid 2,Kelas 10,0
899,9786028320344,Ilmu Pengetahuan Sosial (IPS) Jilid 2,Kelas 10,0
903,9786028320450,Kimia Jilid 2,Kelas 10,0
918,9786028320269,Fisika SMK  Teknologi Jilid 3,Kelas 10,0
924,9786028320481,Kimia Kesehatan Jilid 3,Kelas 10,0
939,9792815610,Buku Siswa Biologi Untuk SMA MA Kelas X Kurikulum 2013,Kelas 10,0
940,9792815771,Buku Siswa Fisika untuk SMA MA Kelas X Kurikulum 2013,Kelas 10,0
941,,Buku Siswa Sejarah Kls X Kurikulum 2013,Kelas 10,0
942,9796625697,Buku Siswa Sosiologi Untuk SMA MA Kelas X Kurikulum 2013 Peminatan Ilmu-Ilmu Sosial,Kelas 10,0
943,9796625611,Buku Siswa Ekonomi untuk SMA MA kelas X kurikulum 2013,Kelas 10,0
944,9792815658,Buku Guru Biologi untuk SMA MA Kelas X Kurikulum 2013 Peminatan Matematika dan Ilmu-Ilmu Alam,Kelas 10,0
945,9792815818,Buku Guru Fisika untuk SMA MA Kelas X Kurikulum 2013 Peminatan Matematika dan Ilmu-Ilmu Alam,Kelas 10,0
946,9789796625642,Buku Guru Ekonomi Untuk SMA MA Kelas X Kurikulum 2013,Kelas 10,0
1045,9786022824718,Pendidikan Pancasila dan Kewarganegaraan SMA MA SMK MAK Kelas X Semester 1,Kelas 10,0
1046,9786022824718,Pendidikan Pancasila dan Kewarganegaraan SMA MA SMK MAK Kelas X Semester 2,Kelas 10,0
1047,9786022824879,Bahasa Indonesia Ekspresi Diri dan Akademik SMA MA SMK MAK Kelas X,Kelas 10,0
1048,9786022824794,Bahasa Inggris SMA MA  SMK MAK Kelas X Semester 1,Kelas 10,0
1049,9786022824790,Bahasa Inggris SMA MA  SMK MAK Kelas X Semester 2,Kelas 10,0
1050,9786022824961,Sejarah Indonesia SMA MA SMK MAK Kelas X Semester 2 Edisi Revisi,Kelas 10,0
1051,9786022824640,Pendidikan Jasmani Olahraga dan Kesehatan SMA MA  SMK MAK Kelas X,Kelas 10,0
1052,9786022824572,Seni Budaya SMA MA  SMK MAK  Kelas X,Kelas 10,0
1053,9786022824015,Pendidikan Agama Islam dan Budi Pekerti SMA MA  SMK MAK Kelas X,Kelas 10,0
1054,9786022824176,Pendidikan Agama Katolik dan Budi Pekerti SMA SMK Kelas X,Kelas 10,0
1093,9789790956704,Pendidikan Kewarganegaraan untuk SMA/MA kelas X,Kelas 10,0
1094,9789790680616,SEJARAH untuk SMA/MA kelas X,Kelas 10,0
1119,,Pendidikan Agama Islam  kelas 10,Kelas 10,0
1120,,Kompetensi Fisika,Kelas 10,0
1122,,Teknologi Informasi dan Komunikasi X,Kelas 10,0
1136,9796028320085,Akuntansi Industri Jilid 1,Kelas 10,0
1137,9786028320115,Alat Ukur dan Teknik Pengukuran Jilid 1,Kelas 10,0
1138,9786028320559,Kriya Kayu Jilid 1,Kelas 10,0
1139,9786028320580,Kriya Keramik Jilid 1,Kelas 10,0
1140,9786028320702,Marketing Jilid 1,Kelas 10,0
1141,9786028320771,Nautika Kapal Penangkap Ikan Jilid 1,Kelas 10,0
1142,9786028320818,Patiseri Jilid 1,Kelas 10,0
1143,9789790600034,Restoran Jilid 1,Kelas 10,0
1144,9789790600140,Seni Musik Klasik Jilid 1,Kelas 10,0
1145,9789790600249,Seni Tari Jilid 1,Kelas 10,0
1146,9789790600294,Seni Teater Jilid 1,Kelas 10,0
1147,9789790600393,Tata Kecantikan Kulit Jilid 1,Kelas 10,0
1148,9789790600430,Tata Kecantikan Rambut Jilid 1,Kelas 10,0
1149,9789790600973,Teknik Pembangkit Tenaga Listrik Jilid 1,Kelas 10,0
1150,9789790600515,Teknik Bodi Otomotif Jilid 1,Kelas 10,0
1151,9789790600553,Teknik Budidaya Tanaman Jilid 1,Kelas 10,0
1152,9789790600638,Teknik Gambar Bangunan Jilid 1,Kelas 10,0
1153,9789790600751,Teknik Konstruksi Bangunan Gedung Jilid 1,Kelas 10,0
1154,9789790600812,Teknik Listrik Industri Jilid 1,Kelas 10,0
1155,9789790600850,Teknik Mesin Industri Jilid 1,Kelas 10,0
1156,9789790600898,Teknik Otomasi Industri Jilid 1,Kelas 10,0
1157,9789790600935,Teknik Pemanfaatan Tenaga Listrik Jilid 1,Kelas 10,0
1158,9789790601017,Teknik Pembentukan Pelat Jilid 1,Kelas 10,0
1159,9789790601055,Teknik Pembibitan Tanaman dan Produksi Benih Jilid 1,Kelas 10,0
1160,9789790601116,Teknik Pemeliharaan dan Perbaikan Sistem Elektronika Jilid 1,Kelas 10,0
1161,9789790601154,Teknik Pemesinan Jilid 1,Kelas 10,0
1162,9789790601291,Teknik Penyiaran & Produksi Program Radio Televisi dan Film Jilid 1,Kelas 10,0
1163,9789790601369,Teknik Perkayuan Jilid 1,Kelas 10,0
1164,9789790601390,Teknik Produksi Mesin Industri Jilid 1,Kelas 10,0
1165,9789790601475,Teknik Struktur Bangunan Jilid 1,Kelas 10,0
1166,9789790601512,Teknik Survei dan Pemetaan Jilid 1,Kelas 10,0
1167,9789790601598,Teknik Transmisi Tenaga Listrik Jilid 1,Kelas 10,0
1168,9789790600119,Seni Budaya Jilid 2,Kelas 10,0
1170,9786028320153,Biologi Pertanian untuk Sekolah Menengah Kejuruan Jilid 2,Kelas 10,0
1175,9786028320481,Kimia Kesehatan Jilid 2,Kelas 10,0
1208,9786028320153,Biologi Pertanian untuk Sekolah Menengah Kejuruan Jilid 3,Kelas 10,0
1345,9786022824916,Matematika SMA MA SMK MAK Kelas X Semester 2 (Edisi Revisi 2014),Kelas 10,0
1346,9786022824911,Sejarah Indonesia SMA MA SMK MAK Kelas X Semester 1,Kelas 10,0
1347,9786022824497,Prakarya dan Kewirausahaan SMA MA SMK MAK Kelas X Semester 1,Kelas 10,0
1348,9786022824091,Pendidikan Agama Kristen SMA MAK SMK MAK Kelas X,Kelas 10,0
1349,9786022824251,Buku Siswa Pendidikan Agama Hindu dan Budi Pekerti SMA SMK Kelas X,Kelas 10,0
1350,9786022824336,Buku Siswa Pendidikan Agama Budha dan Budi Pekerti SMA SMK Kelas X,Kelas 10,0
1351,9786022824411,Buku Siswa Pendidikan Agama Konghucu dan Budi Pekerti SMA SMK Kelas X,Kelas 10,0
